Coverage,Retained_Samples,Basal Cell Carcinoma,Melanoma,Miscellaneous,Nevus,Seborrheic Keratosis
1.0,152,5,35,16,90,6
0.9,137,3,32,14,84,4
0.8,122,3,28,13,75,3
0.7,107,2,24,12,66,3
0.6,92,1,20,7,61,3
0.5,76,1,14,7,53,1
