Metric,Correct_Mean,Correct_SD,Incorrect_Mean,Incorrect_SD
confidence,0.7716137964536648,0.14855801457359094,0.5612054397078121,0.17800272312350748
normalized_entropy,0.44946877808957925,0.2053506937090833,0.677135336358188,0.19795865357608974
margin,0.6527618332074421,0.24280817205822974,0.32969139750097315,0.25868845147502456
seed_disagreement_rate,0.0561056105610561,0.1339096455798384,0.20915032679738566,0.220713834976177
mean_probability_sd,0.05303851831796585,0.04335940602081521,0.09559028606642692,0.04489894451400934
max_probability_sd,0.11980267227074072,0.1024722574917059,0.20523848932455566,0.09907991340525622
mutual_information,0.055578547907937835,0.06508894505683208,0.1134343591390871,0.08756067217671394
