Seed,Macro F1 AI,Macro F1 Intervention,Delta Macro F1,Balanced Accuracy AI,Balanced Accuracy Intervention,Delta Balanced Accuracy,Accuracy AI,Accuracy Intervention
42,0.34694434581138195,0.27309689815164406,-0.07384744765973789,0.38841269841269843,0.29948412698412696,-0.08892857142857147,0.5263157894736842,0.46710526315789475
100,0.40466422466422464,0.28605223291165466,-0.11861199175256998,0.4256746031746032,0.2709126984126984,-0.15476190476190482,0.6776315789473685,0.5855263157894737
2026,0.4481311854205113,0.2855665024630542,-0.16256468295745707,0.45777777777777773,0.27535714285714286,-0.18242063492063487,0.6907894736842105,0.5986842105263158
