Model,Seed,Accuracy AI,Accuracy Oracle,Delta Accuracy,Balanced Accuracy AI,Balanced Accuracy Oracle,Delta Balanced Accuracy,Macro F1 AI,Macro F1 Oracle,Delta Macro F1
B6_PureCBM,42,0.40789473684210525,0.17105263157894737,-0.23684210526315788,0.39269841269841266,0.23317460317460315,-0.1595238095238095,0.3072153850629892,0.142369605273402,-0.16484577978958717
B6_PureCBM,100,0.6710526315789473,0.5394736842105263,-0.13157894736842102,0.5334523809523809,0.2518650793650794,-0.2815873015873015,0.4704766109641424,0.272172715140557,-0.19830389582358537
B6_PureCBM,2026,0.625,0.506578947368421,-0.11842105263157898,0.47337301587301583,0.25781746031746033,-0.2155555555555555,0.4277583105387631,0.26976511744127935,-0.15799319309748378
Proposed_Hybrid,42,0.6710526315789473,0.6644736842105263,-0.006578947368421018,0.4923809523809523,0.4901587301587301,-0.002222222222222181,0.47074923640717586,0.46551408687631596,-0.005235149530859906
Proposed_Hybrid,100,0.6842105263157895,0.6842105263157895,0.0,0.48988095238095236,0.48988095238095236,0.0,0.45961629071879156,0.45961629071879156,0.0
Proposed_Hybrid,2026,0.631578947368421,0.631578947368421,0.0,0.45134920634920633,0.45134920634920633,0.0,0.41639993359204963,0.41639993359204963,0.0
