Model,Seed,Macro Concept F1,Macro Concept AUROC
B6_PureCBM,42,0.44401618040881285,0.7180024480432818
B6_PureCBM,100,0.5508045245551724,0.8178488399292931
B6_PureCBM,2026,0.5564239074066417,0.8245169416728829
Proposed_Hybrid,42,0.570407785891776,0.8552549276649587
Proposed_Hybrid,100,0.5789039445945406,0.8471981883577328
Proposed_Hybrid,2026,0.5324817828943383,0.8286425992795847
