Model,Seed,Accuracy,Balanced Accuracy,Macro F1,Macro Precision,Macro Recall,Macro Specificity,One-vs-Rest AUROC
B6_PureCBM,42,0.40789473684210525,0.39269841269841266,0.3072153850629892,0.3567047749332291,0.39269841269841266,0.8632088514162024,0.7268786763306001
B6_PureCBM,100,0.6710526315789473,0.5334523809523809,0.4704766109641424,0.4686027568922306,0.5334523809523809,0.9141070260434754,0.7630605149038665
B6_PureCBM,2026,0.625,0.47337301587301583,0.4277583105387631,0.4286217948717949,0.47337301587301583,0.9052827191585701,0.7584610095695371
Proposed_Hybrid,42,0.6710526315789473,0.4923809523809523,0.47074923640717586,0.45740620138210497,0.4923809523809523,0.8994792213088371,0.843217408881644
Proposed_Hybrid,100,0.6842105263157895,0.48988095238095236,0.45961629071879156,0.44945887445887445,0.48988095238095236,0.9139983673993524,0.871702905593444
Proposed_Hybrid,2026,0.631578947368421,0.45134920634920633,0.41639993359204963,0.4232039461707795,0.45134920634920633,0.9074136593463769,0.8244669184453187
