Model,Accuracy,Balanced Accuracy,Macro F1,Macro Precision,Macro Recall,Macro Specificity,One-vs-Rest AUROC
B6_PureCBM,0.5680 ± 0.1405,0.4665 ± 0.0706,0.4018 ± 0.0847,0.4180 ± 0.0567,0.4665 ± 0.0706,0.8942 ± 0.0272,0.7495 ± 0.0197
Proposed_Hybrid,0.6623 ± 0.0274,0.4779 ± 0.0230,0.4489 ± 0.0287,0.4434 ± 0.0179,0.4779 ± 0.0230,0.9070 ± 0.0073,0.8465 ± 0.0238
