Seed,Representation,Accuracy,Macro F1
42,Soft predicted,0.6052631578947368,0.4420042581870539
42,Hard predicted,0.5263157894736842,0.34694434581138195
42,Ground truth,0.39473684210526316,0.3724897075709238
100,Soft predicted,0.7039473684210527,0.4420152616715736
100,Hard predicted,0.6776315789473685,0.40466422466422464
100,Ground truth,0.39473684210526316,0.3724897075709238
2026,Soft predicted,0.7039473684210527,0.45139163372859026
2026,Hard predicted,0.6907894736842105,0.4481311854205113
2026,Ground truth,0.39473684210526316,0.3724897075709238
